date,portfolio_value,daily_return,realized_vol,expected_vol,drawdown,regime_score,turnover
2016-03-18,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-21,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-22,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-23,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-24,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-28,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-29,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-30,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-03-31,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-01,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-04,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-05,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-06,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-07,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-08,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-11,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-12,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-13,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-14,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-15,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-18,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-19,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-20,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-21,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-22,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-25,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-26,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-27,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-28,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-29,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-02,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-03,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-04,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-05,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-06,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-09,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-10,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-11,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-12,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-13,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-16,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-17,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-18,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-19,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-20,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-23,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-24,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-25,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-26,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-27,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-31,100000.0,0.0,0.0,0.0,0.0,0.9993102551012255,0.0
2016-06-01,100000.0,0.0,0.0,0.0,0.0,0.9989409884381146,0.0
2016-06-02,100000.0,0.0,0.0,0.0,0.0,0.9989308954193398,0.0
2016-06-03,100000.0,0.0,0.0,0.0,0.0,0.9962118609069309,0.0
2016-06-06,100000.0,0.0,0.0,0.0,0.0,0.996581127570042,0.0
2016-06-07,100000.0,0.0,0.0,0.0,0.0,0.9965912205888167,0.0
2016-06-08,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-06-09,100000.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-06-10,100000.0,0.0,0.0,0.0,0.0,0.9912113916063144,0.0
2016-06-13,100000.0,0.0,0.0,0.0,0.0,0.9766196396501687,0.0
2016-06-14,100000.0,0.0,0.0,0.0,0.0,0.9584480152023883,0.0
2016-06-15,100000.0,0.0,0.0,0.0,0.0,0.9490010571842515,0.0
2016-06-16,100000.0,0.0,0.0,0.0,0.0,0.9473949019893412,0.0
2016-06-17,100000.0,0.0,0.0,0.0,0.0,0.9477651941650231,0.0
2016-06-20,100000.0,0.0,0.0,0.0,0.0,0.9565792243811244,0.0
2016-06-21,100000.0,0.0,0.0,0.0,0.0,0.9647776680128155,0.0
2016-06-22,100000.0,0.0,0.0,0.0,0.0,0.9719720070250176,0.0
2016-06-23,100000.0,0.0,0.0,0.0,0.0,0.9813935432207385,0.0
2016-06-24,100000.0,0.0,0.0,0.0,0.0,0.9577816339961501,0.0
2016-06-27,100000.0,0.0,0.0,0.0,0.0,0.9215807445184824,0.0
2016-06-28,100000.0,0.0,0.0,0.0,0.0,0.7356723059067468,0.0
2016-06-29,100000.0,0.0,0.0,0.0,0.0,0.4852101725598568,0.0
2016-06-30,100000.0,0.0,0.0,0.0,0.0,0.23804277856897046,0.0
2016-07-01,100000.0,0.0,0.0,0.0,0.0,0.12395121718070579,0.0
2016-07-05,100000.0,0.0,0.0,0.0,0.0,0.10633182102537171,0.0
2016-07-06,100000.0,0.0,0.0,0.0,0.0,0.10030709775382235,0.0
2016-07-07,100000.0,0.0,0.0,0.0,0.0,0.10030709775382235,0.0
2016-07-08,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-11,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-12,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-13,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-14,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-15,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-18,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-19,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-20,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-21,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-22,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-25,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-26,100000.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0
2016-07-27,100000.0,0.0,0.0,0.0,0.0,0.12533961726231127,0.0
2016-07-28,100000.0,0.0,0.0,0.0,0.0,0.16580382488831413,0.0
2016-07-29,100000.0,0.0,0.0,0.0,0.0,0.21693605629984491,0.0
